"category","bow","distance","target","score","stars"
"joad_indoor","barebow",9,60,40,1
"joad_indoor","barebow",9,60,75,2
"joad_indoor","barebow",9,60,110,3
"joad_indoor","barebow",9,60,145,4
"joad_indoor","barebow",18,60,30,2
"joad_indoor","barebow",18,60,50,3
"joad_indoor","barebow",18,60,100,4
"joad_indoor","barebow",18,60,140,5
"joad_indoor","barebow",18,60,185,6
"joad_indoor","barebow",18,60,230,7
"joad_indoor","barebow",18,60,255,8
"joad_indoor","barebow",18,60,265,9
"joad_indoor","barebow",18,60,275,10
"joad_indoor","barebow",18,60,280,11
"joad_indoor","barebow",18,40,175,6
"joad_indoor","barebow",18,40,220,7
"joad_indoor","barebow",18,40,240,8
"joad_indoor","barebow",18,40,250,9
"joad_indoor","barebow",18,40,260,10
"joad_indoor","barebow",18,40,270,11
"joad_indoor","olympic",9,60,50,1
"joad_indoor","olympic",9,60,100,2
"joad_indoor","olympic",9,60,150,3
"joad_indoor","olympic",9,60,200,4
"joad_indoor","olympic",18,60,30,2
"joad_indoor","olympic",18,60,50,3
"joad_indoor","olympic",18,60,100,4
"joad_indoor","olympic",18,60,150,5
"joad_indoor","olympic",18,60,200,6
"joad_indoor","olympic",18,60,250,7
"joad_indoor","olympic",18,60,270,8
"joad_indoor","olympic",18,60,285,9
"joad_indoor","olympic",18,60,290,10
"joad_indoor","olympic",18,60,295,11
"joad_indoor","olympic",18,40,190,6
"joad_indoor","olympic",18,40,240,7
"joad_indoor","olympic",18,40,260,8
"joad_indoor","olympic",18,40,280,9
"joad_indoor","olympic",18,40,285,10
"joad_indoor","olympic",18,40,290,11
"joad_indoor","compound",9,40,50,1
"joad_indoor","compound",9,40,100,2
"joad_indoor","compound",18,40,30,2
"joad_indoor","compound",9,40,150,3
"joad_indoor","compound",18,40,50,3
"joad_indoor","compound",9,40,200,4
"joad_indoor","compound",18,40,100,4
"joad_indoor","compound",18,40,150,5
"joad_indoor","compound",18,40,200,6
"joad_indoor","compound",18,40,240,7
"joad_indoor","compound",18,40,260,8
"joad_indoor","compound",18,40,285,9
"joad_indoor","compound",18,40,290,10
"joad_indoor","compound",18,40,295,11